#,Anvil,Location,Length_mm,Width_mm,Tickness_mm,Weight_g,Damage,Material
AnvSA01a,AnvSA01,Laem Son,155,110,22,867,0,Basalt
AnvSA02a,AnvSA02,Laem Son,175,115,40,940,0,Siltstone
AnvSA03a,AnvSA03,Laem Son,155,100,35,590,1,Siltstone
AnvSA04a,AnvSA04,Laem Son,170,85,25,560,0,Siltstone
AnvSA05a,AnvSA05,Laem Son,180,80,60,930,0,Siltstone
AnvSA05b,AnvSA05,Laem Son,95,60,25,210,0,Siltstone
AnvSA06a,AnvSA06,Laem Son,105,60,40,310,0,Siltstone
AnvSA07a,AnvSA07,Laem Son,150,80,10,430,0,Basalt
AnvSA08a,AnvSA08,Laem Son,130,70,35,330,0,Siltstone
AnvSA09a,AnvSA09,Laem Son,120,110,20,510,0,Siltstone
AnvSA10a,AnvSA10,Laem Son,130,75,50,540,0,Siltstone
AnvSA11a,AnvSA11,Laem Son,150,110,30,800,0,Siltstone
AnvSA12a,AnvSA12,Laem Son,150,110,25,1190,0,Basalt
AnvSA13a,AnvSA13,Laem Son,250,105,30,1920,0,Basalt
AnvSA14a,AnvSA14,Laem Son,200,80,30,640,0,Basalt
AnvSA15a,AnvSA15,Laem Son,120,70,35,230,0,Basalt
AnvSA15b,AnvSA15,Laem Son,160,90,35,490,0,Basalt
AnvSA15c,AnvSA15,Laem Son,90,65,10,180,0,Basalt
AnvSA16a,AnvSA16,Laem Son,230,260,60,2640,0,Basalt
AnvSA17a,AnvSA17,Laem Son,155,120,45,1160,0,Basalt
AnvSA18a,AnvSA18,Laem Son,140,90,35,680,0,Basalt
AnvSA19a,AnvSA19,Laem Son,180,155,60,2960,0,Basalt
AnvSA21a,AnvSA21,Laem Son,145,110,30,970,0,Basalt
AnvSA22a,AnvSA22,Laem Son,135,110,25,690,1,Basalt
AnvSA23a,AnvSA23,Laem Son,100,75,15,350,0,Basalt
AnvSA24a,AnvSA24,Laem Son,210,145,45,2470,0,Basalt
AnvSA24b,AnvSA24,Laem Son,175,115,30,890,0,Basalt
AnvSA24c,AnvSA24,Laem Son,70,65,20,180,0,Basalt
AnvSA25a,AnvSA25,Laem Son,175,150,25,1110,0,Basalt
AnvSA26a,AnvSA26,Laem Son,160,100,30,690,0,Basalt
AnvSA27a,AnvSA27,Laem Son,105,90,25,400,0,Basalt
AnvSA27b,AnvSA27,Laem Son,90,70,30,330,0,Basalt
AnvSA28a,AnvSA28,Laem Son,95,90,35,390,0,Basalt
AnvSA28b,AnvSA28,Laem Son,100,50,10,160,0,Basalt
AnvSA28c,AnvSA28,Laem Son,130,90,20,630,0,Basalt
AnvSA29a,AnvSA29,Laem Son,120,90,20,450,0,Basalt
AnvSA30a,AnvSA30,Laem Son,135,115,35,1080,0,Basalt
AnvSA31a,AnvSA31,Laem Son,125,110,20,820,0,Basalt
AnvSA32a,AnvSA32,Laem Son,185,130,30,1490,0,Basalt
AnvSA33a,AnvSA33,Laem Son,280,80,30,1460,0,Basalt
AnvSA34a,AnvSA34,Laem Son,140,110,25,650,0,Basalt
AnvSA35a,AnvSA35,Laem Son,150,115,20,550,0,Basalt
AnvSA35b,AnvSA35,Laem Son,210,95,35,780,0,Basalt
AnvSA36a,AnvSA36,Laem Son,120,90,10,240,0,Basalt
AnvSA36b,AnvSA36,Laem Son,100,65,10,250,0,Basalt
AnvSA37a,AnvSA37,Laem Son,220,140,25,830,0,Basalt
AnvSA38a,AnvSA38,Laem Son,250,90,65,1990,0,Basalt
AnvSA39a,AnvSA39,Laem Son,210,100,20,460,0,Basalt
AnvSA40a,AnvSA40,Laem Son,270,150,15,320,0,Basalt
AnvSA41a,AnvSA41,Laem Son,155,75,55,1180,0,Basalt
AnvSA42a,AnvSA42,Laem Son,210,110,60,1540,0,Basalt
AnvSA43a,AnvSA43,Laem Son,170,90,35,770,0,Basalt
AnvSA44a,AnvSA44,Laem Son,180,60,55,670,0,Basalt
AnvSA44b,AnvSA44,Laem Son,120,65,25,300,0,Basalt
AnvSA45a,AnvSA45,Laem Son,300,70,80,1280,0,Basalt
AnvSA46a,AnvSA46,Laem Son,170,85,50,1020,0,Basalt
AnvSA47a,AnvSA47,Laem Son,100,60,25,170,0,Sandstone
AnvSA48a,AnvSA48,Laem Son,115,85,35,400,0,Basalt
AnvSA49a,AnvSA49,Laem Son,150,70,55,790,0,Sandstone
AnvSA50a,AnvSA50,Laem Son,145,65,40,550,0,Basalt
AnvSA51a,AnvSA51,Laem Son,140,55,35,310,0,Sandstone
AnvSA52a,AnvSA52,Laem Son,90,70,25,320,1,Sandstone
AnvSA53a,AnvSA53,Laem Son,120,75,15,340,0,Basalt
AnvSA54a,AnvSA54,Laem Son,110,65,30,220,0,Sandstone
AnvSA55a,AnvSA55,Laem Son,175,130,60,1630,1,Sandstone
AnvSA56a,AnvSA56,Laem Son,235,65,40,1360,1,Sandstone
AnvSA57a,AnvSA57,Laem Son,175,110,45,1220,0,Basalt
AnvSA58a,AnvSA58,Laem Son,115,70,30,350,0,Basalt
AnvSA58b,AnvSA58,Laem Son,115,60,35,340,0,Basalt
AnvSA59a,AnvSA59,Laem Son,180,100,35,890,0,Basalt
AnvSA60a,AnvSA60,Laem Son,130,55,30,480,0,Basalt
AnvSA61a,AnvSA61,Laem Son,135,100,40,730,0,Basalt
AnvSA62a,AnvSA62,Laem Son,120,100,40,520,0,Sandstone
AnvSA63a,AnvSA63,Laem Son,160,130,35,1040,0,Basalt
AnvSA64a,AnvSA64,Laem Son,240,160,45,3050,0,Basalt
AnvSA65a,AnvSA65,Laem Son,175,90,35,640,0,Basalt
AnvSA66a,AnvSA66,Laem Son,220,85,55,1590,0,Basalt
AnvSA67a,AnvSA67,Laem Son,160,145,40,1860,0,Basalt
AnvSA68a,AnvSA68,Laem Son,130,80,55,570,0,Basalt
AnvSA69a,AnvSA69,Laem Son,150,90,35,720,0,Basalt
AnvSA70a,AnvSA70,Laem Son,135,115,40,1130,0,Basalt
AnvSA71a,AnvSA71,Laem Son,130,120,45,730,0,Basalt
AnvSA72a,AnvSA72,Laem Son,90,80,30,320,0,Siltstone
AnvSA73a,AnvSA73,Laem Son,180,150,45,2030,0,Basalt
AnvSA74a,AnvSA74,Laem Son,125,80,40,920,0,Basalt
AnvSA75a,AnvSA75,Laem Son,230,110,35,1500,0,Basalt
AnvSA76a,AnvSA76,Laem Son,200,135,60,2610,0,Basalt
AnvSA77a,AnvSA77,Laem Son,225,155,60,2100,1,Sandstone
AnvSA78a,AnvSA78,Laem Son,170,110,45,830,0,Basalt
AnvSA79a,AnvSA79,Laem Son,240,150,70,3070,0,Basalt
AnvSA80a,AnvSA80,Laem Son,140,135,35,690,0,Basalt
AnvSA81a,AnvSA81,Laem Son,250,160,60,1940,1,Siltstone
AnvSA82a,AnvSA82,Laem Son,140,90,30,690,0,Basalt
AnvSA83a,AnvSA83,Laem Son,125,100,10,360,1,Basalt
AnvSA84a,AnvSA84,Laem Son,150,135,45,1910,0,Basalt
AnvSA85a,AnvSA85,Laem Son,170,110,35,1600,0,Basalt
AnvSA86a,AnvSA86,Laem Son,115,110,40,680,0,Basalt
AnvSA87a,AnvSA87,Laem Son,140,90,25,490,0,Basalt
AnvSA89a,AnvSA89,Laem Son,120,70,40,460,1,Sandstone
AnvSA90a,AnvSA90,Laem Son,240,170,50,2380,0,Sandstone
AnvSA91a,AnvSA91,Laem Son,135,70,30,520,0,Sandstone
AnvSA92a,AnvSA92,Laem Son,155,90,45,590,0,Sandstone
